[Fri Aug 07 11:50:27 EDT 2020] MonzterSlayer | Location: X: -210 Y: 4 Z: -214 | Line: 0 | 
[Fri Aug 07 11:50:27 EDT 2020] MonzterSlayer | Location: X: -210 Y: 4 Z: -214 | Line: 1 | 
[Fri Aug 07 11:50:27 EDT 2020] MonzterSlayer | Location: X: -210 Y: 4 Z: -214 | Line: 2 | 
[Fri Aug 07 11:50:27 EDT 2020] MonzterSlayer | Location: X: -210 Y: 4 Z: -214 | Line: 3 | 
[Fri Aug 07 11:50:50 EDT 2020] MonzterSlayer | Location: X: -214 Y: 4 Z: -214 | Line: 0 | [Start]
[Fri Aug 07 11:50:50 EDT 2020] MonzterSlayer | Location: X: -214 Y: 4 Z: -214 | Line: 1 | 1
[Fri Aug 07 11:50:50 EDT 2020] MonzterSlayer | Location: X: -214 Y: 4 Z: -214 | Line: 2 | 
[Fri Aug 07 11:50:50 EDT 2020] MonzterSlayer | Location: X: -214 Y: 4 Z: -214 | Line: 3 | 
[Fri Aug 07 11:53:11 EDT 2020] MonzterSlayer | Location: X: -210 Y: 4 Z: -214 | Line: 0 | [Mob]
[Fri Aug 07 11:53:11 EDT 2020] MonzterSlayer | Location: X: -210 Y: 4 Z: -214 | Line: 1 | UNDEAD_SKELETON
[Fri Aug 07 11:53:11 EDT 2020] MonzterSlayer | Location: X: -210 Y: 4 Z: -214 | Line: 2 | 0,5,MM
[Fri Aug 07 11:53:11 EDT 2020] MonzterSlayer | Location: X: -210 Y: 4 Z: -214 | Line: 3 | D 5
[Fri Aug 07 11:55:12 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -216 | Line: 0 | [ready]
[Fri Aug 07 11:55:12 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -216 | Line: 1 | horde
[Fri Aug 07 11:55:12 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -216 | Line: 2 | 5
[Fri Aug 07 11:55:12 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -216 | Line: 3 | 
[Fri Aug 07 11:55:56 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -216 | Line: 0 | [ready]
[Fri Aug 07 11:55:56 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -216 | Line: 1 | 
[Fri Aug 07 11:55:56 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -216 | Line: 2 | 
[Fri Aug 07 11:55:56 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -216 | Line: 3 | 
